album,Marie,Jean,Pierre,Michel,André,Jeanne,Philippe,Louis,René,Alain,Jacques,Bernard,Marcel,Daniel,Roger,Paul,Robert,Claude,Henri,Christian,Nicolas,Georges,Françoise,Monique,François,Patrick,Catherine,Nathalie,Gérard,Isabelle,Joseph,Christophe,Jacqueline,Sylvie,Anne,Julien,Maurice,Laurent,Frédéric,Martine,Eric,David,Stéphane,Pascal,Madeleine,Sébastien,Alexandre,Nicole,Suzanne,Thierry,Hélène,Christine,Olivier,Antoine,Thomas,Raymond,Louise,Marguerite,Guy,Denise,Christiane,Yvonne,Valérie,Sophie,Dominique,Charles,Sandrine,Céline,Stéphanie,Marc,Didier,Véronique,Vincent,Chantal,Yves,Marcelle,Guillaume,Renée,Maxime,Bruno,Simone,Jeannine,Andrée,Julie,Paulette,Germaine,Annie,Patricia,Lucie,Camille,Yvette,Brigitte,Léa,Alice,Emilie,Odette,Geneviève,Aurélie,Laurence,Michèle
##### - #####,,3.0,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,3.5,3.0,,,,,,,3.5,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,
$$$tag$$$ - crowd surfing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'o'rang - herd of instinct,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.5,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
(sandy) alex g - house of sugar,,3.5,,4.0,,3.5,,,,,4.5,3.5,,,3.5,,,,,,,,5.0,,3.5,3.5,,2.5,4.0,4.5,4.0,,,,,3.5,,,,3.5,,,,,,2.0,3.5,,,,,4.5,3.5,,,2.5,3.5,,2.5,,,3.5,3.5,,,4.5,,,,,4.0,,3.5,,4.0,,2.5,,,,3.5,,,,,4.0,3.5,,,,,3.5,,,,,,,,3.5
(sandy) alex g - rocket,,3.0,,4.0,,4.0,,,,,3.0,3.5,,4.0,,,,,3.5,,,,4.5,,3.5,3.0,,,3.5,4.0,4.0,2.0,4.0,,2.5,,,,,3.5,,,,,,3.0,4.0,,,,,4.0,,,,2.5,,,,,,3.0,,,,4.0,3.0,,,,,,3.0,,3.5,,,,,2.5,3.5,,,,,,3.5,,,,4.5,4.0,,3.5,,,,,,3.5
******** - the drink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,3.5,,,,,,,,,,,,
...and you will know us by the trail of dead - source tags & codes,2.5,,3.5,4.0,,,4.0,,,,,3.5,,,,3.5,,4.0,,,,,,,3.5,3.0,,,,3.0,,3.0,,,,3.5,,,,4.0,,,3.5,,1.5,2.0,,,,,,,,3.0,,4.5,,,,,,4.0,3.5,,4.0,4.0,4.5,,2.5,4.0,4.0,,,,4.0,,3.5,,,,4.5,,,,3.5,,3.0,,3.5,,,,3.5,4.5,,,,4.0,,4.5
1/2 japanese - 1/2 gentlemen / not beasts,,,,,3.5,4.0,,,,,,3.0,,,,,,,,,,,,,,,,3.0,,3.5,,3.5,,,2.0,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,4.0,,,,,,,,,,,,,,,2.5,,3.0,,,,,,2.0,,,,3.5,3.0,,,,,,,,,3.5,
100 flowers - 100 flowers,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,4.5,,3.5,,,,,,,,,,,2.0,,,,,,,,
100 gecs - 1000 gecs,,1.5,4.5,,,3.5,4.0,,,3.0,4.0,3.5,,3.5,,,,,1.0,3.0,,,4.0,4.5,3.5,3.0,,2.5,3.5,4.0,,3.5,,0.5,1.5,2.0,,1.5,,4.0,,4.5,,3.5,,2.0,3.0,3.5,,,,3.5,,3.0,4.5,3.0,2.5,3.5,,,,3.5,0.5,,3.5,3.0,,,2.5,,2.0,2.5,3.5,,2.5,3.5,,,,0.5,,4.0,,3.5,2.0,0.5,2.0,3.0,,,,3.5,,,3.5,1.5,,,4.0,2.5
